seg,word,cate,v,a
73,weirdo,3,5.19,4.9
74,bee,3,3.68,5.65
79,bad,3,3.24,4.86
81,crazy,3,5.14,5.9
81,crazy,3,5.14,5.9
81,crazy,3,5.14,5.9
84,insane,3,2.55,5.14
85,bad,3,3.24,4.86
86,die,3,1.67,6.9
86,bad,3,3.24,4.86
86,bait,3,4,3.5
89,change,3,5.09,4.05
89,bad,3,3.24,4.86
91,afraid,3,2.25,5.12
94,witch,3,3.14,5.3
95,hurt,3,2.45,4.72
95,bad,3,3.24,4.86
96,worry,3,2.1,6.33
101,radioactive,3,3.47,5.64
102,crazy,3,5.14,5.9
104,bothered,3,3,6.17
104,remove,3,4.21,3.11
105,mad,3,2.47,5.59
108,horrible,3,2.33,5.95
112,die,3,1.67,6.9
112,doubt,3,3.28,4.33
112,bad,3,3.24,4.86
116,challenge,3,5.95,5.25
119,rob,3,2.1,5.54
121,afraid,3,2.25,5.12
124,doubt,3,3.28,4.33
126,crazed,3,3.5,6.25
133,crazy,3,5.14,5.9
134,homework,3,3.32,4.74
135,scared,3,2.78,6.82
140,bad,3,3.24,4.86
147,lion,3,5.84,5.29
147,stealing,3,2.75,4.57
151,mad,3,2.47,5.59
151,freezing,3,3.33,5.84
152,childish,3,4.89,5
153,hate,3,1.96,6.26
156,horrible,3,2.33,5.95
156,bear,3,5.33,4.5
158,radioactive,3,3.47,5.64
159,fight,3,3.54,6.33
161,hunter,3,4.9,5.86
161,stormy,3,5.14,6.52
163,afraid,3,2.25,5.12
163,curse,3,2.9,5.2
163,disease,3,1.68,5.5
169,killing,3,1.95,5.52
171,barbaric,3,3.43,5.6
175,hate,3,1.96,6.26
177,awful,3,2.28,4.86
178,homework,3,3.32,4.74
178,die,3,1.67,6.9
180,god,3,5.9,5.56
180,nervous,3,3.56,5.51
181,steal,3,2.17,5.3
181,stealing,3,2.75,4.57
183,watch,3,5.45,3.37
183,hood,3,4.95,3.33
183,watch,3,5.45,3.37
187,homework,3,3.32,4.74
188,hurt,3,2.45,4.72
188,kill,3,1.81,6.81
190,villain,3,3,4.91
191,collapse,3,3.37,6.14
191,watch,3,5.45,3.37
192,watch,3,5.45,3.37
193,insane,3,2.55,5.14
194,bad,3,3.24,4.86
195,hate,3,1.96,6.26
195,die,3,1.67,6.9
197,watch,3,5.45,3.37
198,confused,3,3.21,6.03
0,happy,4,8.47,6.05
0,cute,4,7.56,5.05
0,complete,4,8.17,5.75
0,day,4,6.66,5
0,me,4,8.06,5.97
0,like,4,7.52,6.63
0,know,4,6.93,5.77
0,adorable,4,7.4,4.66
0,love,4,8,5.36
0,know,4,6.93,5.77
0,love,4,8,5.36
0,beautiful,4,7.61,5.71
0,friend,4,6.79,4.29
0,care,4,7.53,6.03
0,love,4,8,5.36
0,bless,4,7,4.57
0,kid,4,6.42,5.35
0,red,4,6.41,5.29
0,beautiful,4,7.61,5.71
0,day,4,6.66,5
0,love,4,8,5.36
0,people,4,7.33,5.94
0,friend,4,6.79,4.29
0,beautiful,4,7.61,5.71
0,first,4,6.89,6.14
0,day,4,6.66,5
0,love,4,8,5.36
0,beach,4,7.21,5.1
1,soup,4,7.05,4.24
1,happy,4,8.47,6.05
1,cruise,4,7.17,5.83
1,idea,4,7,5.86
1,favorite,4,7.39,4.4
1,wish,4,7.09,5.16
1,right,4,6.45,4.79
1,like,4,7.52,6.63
1,people,4,7.33,5.94
1,play,4,8.1,6.93
1,guitar,4,6.86,5.82
1,beautiful,4,7.61,5.71
1,me,4,8.06,5.97
1,me,4,8.06,5.97
1,high,4,6.62,5.56
1,idea,4,7,5.86
1,dog,4,7.57,5.76
1,me,4,8.06,5.97
1,me,4,8.06,5.97
1,me,4,8.06,5.97
1,child,4,7.2,5.33
1,love,4,8,5.36
1,people,4,7.33,5.94
1,happy,4,8.47,6.05
1,day,4,6.66,5
1,bless,4,7,4.57
1,love,4,8,5.36
1,love,4,8,5.36
1,mother,4,7.53,4.73
1,daughter,4,6.73,5
1,love,4,8,5.36
1,men,4,6.66,5.69
1,freedom,4,7.72,5.67
1,love,4,8,5.36
1,love,4,8,5.36
1,enjoy,4,7.67,5
1,fun,4,8.37,6.32
